,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,REE,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VNM,VPB,VRE,Gold
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,-0.002941178590816151,0.0,-0.007495776152906539,-0.017652236908042882,-0.006143064513714048,0.0,0.021842877880451635,0.0,0.0,-0.0022148403295527874,-0.010489606671019436,0.03084179128756836,0.01953187091724585,0.002724055075927255,0.0,-0.0025031302181185884,0.04914681690974707,0.0,0.0,0.037408102066170006,-0.0037383221106072153,0.0,0.0,-0.001721170820773027,0.0,0.003384097984240494,0.02881846087318775,0.011190850076686736,0.0011461319306225416,0.0010652464389480092,0.0016331290795583457
2018-01-04,0.002941178590816229,0.0,0.02765774944325075,0.010379477578963233,0.035455507979180144,0.019614675035500455,0.04609435134661047,0.0,0.0,0.01212136053234504,0.001755926702264791,0.0,0.0022540663222697485,0.04416785985292435,0.0,0.0025031302181184748,0.009361726723622909,0.0,0.0,-0.0032450001433271896,0.018553407895747834,0.0,0.0,0.009003276249958793,0.0,0.010084119066626226,0.006404876100505309,0.004285999157984836,0.03489380455257417,-0.004267811225822812,0.0018472498677474965
2018-01-05,0.0,0.0,-0.005336903928187718,-0.022505225644570998,-0.0232068859029809,-0.016424879667400416,-0.015770190790914882,0.0,0.0,-0.0032912810840728442,-0.007042282625412923,0.026282333703110648,-0.011321485960212643,0.0050194826288859394,0.0,-0.016129381929883644,-0.01205268260122177,-0.020202707317519466,0.0,-0.040912283897771365,0.0,0.0,0.0,-0.02550386773189479,0.0,0.03612872408850548,-0.012510729534065148,-0.00614246556639808,-0.011123585218662316,-0.0042861035344861406,0.00309349090652151
2018-01-08,0.033216050008530076,0.0,0.01592601677098613,0.018044517025784544,0.023206885902980923,0.015170961007806604,0.0,0.0,0.0013201322049228162,0.030305349495329058,0.04828524115946212,0.0472484008371741,-0.01573802975023979,0.06143677162149099,0.0,0.007088637277734536,-0.01251450267219542,0.040005334613699206,0.0,0.02011240978709547,0.06752120087549517,0.0,0.0,0.02550386773189482,0.0,0.05338787341806154,0.0037357829149481745,-0.016467364179092454,0.04590970130407795,-0.012969649512387828,-0.001689997107120522
2018-01-09,0.004252309738530476,0.0,-0.0159260167709861,0.05615449249884087,0.0,0.019261235413677583,0.015770190790914816,0.0,0.0013183917532582322,0.06700083895571067,0.008382278752804439,0.013393365550861095,0.001650982709501791,-0.010773855438548984,0.0,0.016016358388574334,0.0,0.050966443592027566,0.0,0.011001211061973583,0.020408871631207033,0.0,0.0,0.054404114444637434,0.0,0.0,0.0037218787677258175,-0.014420438151390883,0.03051262486139399,0.012969649512387705,-0.007569669532732741
2018-01-10,-0.012811563134200279,0.0,0.0013368985948415987,-0.01258948237217778,-0.007675943872104291,-0.009894947771454643,0.009752836309164233,0.0,0.01438873745209967,-0.023198216297317824,0.003333336419758217,-0.03389682219041481,0.008868509431204508,0.022556737302089735,0.0,0.006927291432566258,-0.00578857586449131,0.0,0.0,0.017354014693151572,0.049271049006782835,0.0,0.0,-0.00852450869394381,0.0,0.009132483563272474,0.002361276185679907,0.019181407271334654,0.0020703941143082735,0.05788894484918709,0.009866937334039169
2018-01-11,0.005714301263438415,0.0,0.005994023940210426,0.0013686914027165624,0.0059752631900870205,0.0,0.0020411641718577032,0.0,0.05310982531394833,0.0,0.013223333174689433,0.03389682219041477,-0.005903592088740212,0.037015013896008676,0.0,-0.006927291432566214,0.005788575864491169,0.0862346779214574,0.0,-0.0010758473334632364,0.0408219945202552,0.0,0.0,0.013765399544915362,0.0,0.04445176257083401,0.0026917916657115746,-0.004760969119943821,0.015392812901171582,0.04119689256757696,-0.010106569594374533
2018-01-12,-0.023055776299925737,0.0,-0.013369183082134512,-0.018637295275389116,-0.0025564564413013257,-0.021357595732649785,-0.02651670514263961,0.0,0.06669137449867235,0.007117467768863734,-0.023256862164267235,0.03278539844555613,-0.01291194895990021,-0.017155754510184015,0.0,-0.023104995666308914,-0.0011550376671324058,-0.04665569164079928,0.0,0.03282454564804337,-0.0472528848505455,0.0,0.0,-0.013765399544915412,0.0,0.061817431023210447,0.05268681223769554,-0.0004972403264899794,-0.034182509744538056,0.05808998400796857,0.011176151400986293
2018-01-15,-0.0029197101033348618,0.0,0.0020168074063046,0.053416104949647984,0.019434494228652913,0.013245226750020723,0.016783852763357875,0.0,0.0011514106050418357,0.047486666265987874,0.028170876966696224,-0.002125964127862999,0.0023298396293631486,0.04295280437392633,0.0,0.0010157441198354218,0.009619480283282225,0.055166381308708046,0.0,0.020619287202735825,-0.009724549891994744,0.0,0.0,0.03367051534079261,0.0,0.02422729533532427,0.020820941418480097,-0.006686985344865547,0.01878969684336645,-0.007368212013507785,0.0
2018-01-16,-0.004395611473038109,0.0,0.01466692958873054,-0.0138002023849788,0.019063983904231266,0.0,0.012617388187789225,0.0,-0.011574203281136678,0.024810432914513667,0.009756174945364656,-0.004265535659749101,0.0029875540893308287,0.005410292728247479,0.0,0.0,-0.005739645289964737,-0.017094433359300183,0.0,-0.004089985251525166,-0.026404174196510737,0.0,0.0,0.0,0.0,-0.002663117419483662,-0.013832348807072974,-0.0010019037006821498,-0.010395104000340077,-0.01279235958485417,0.004328038532429991
