,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,REE,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VNM,VPB,VRE,Gold
2018-01-15,6.84,22.06,14.89,60.56,11.95,15.96,58.28,9.42,8.69,10.35,6.12,75.18,30.08,66.36,14.05,19.7,96.1,3.54,9.97,9.8,15.35,16.12,7.19,25.37,64.42,3.76,32.03,99.86,9.67,43.27,29649482.942871094
2018-01-16,6.81,22.06,15.11,59.73,12.18,15.96,59.02,9.42,8.59,10.61,6.18,74.86,30.17,66.72,14.05,19.7,95.55,3.48,9.97,9.76,14.95,16.12,7.19,25.37,64.42,3.75,31.59,99.76,9.57,42.72,29778085.14440918
2018-01-17,6.84,22.06,14.73,58.07,11.54,15.44,56.97,9.42,8.16,10.16,6.05,73.08,29.5,63.2,14.05,18.98,95.18,3.48,9.97,9.35,14.3,16.12,7.19,23.77,64.42,3.97,30.86,96.31,9.47,43.59,30003312.0
2018-01-18,6.93,22.06,14.78,59.73,11.68,15.44,57.08,9.42,8.41,10.61,6.18,74.53,29.85,63.64,14.05,19.17,95.1,3.64,9.97,9.66,15.0,16.12,7.19,24.74,64.42,3.98,31.01,98.47,9.67,45.57,29682510.0
2018-01-19,6.93,22.06,14.67,62.55,11.59,15.41,56.45,9.42,8.64,11.31,6.13,70.89,29.39,67.38,14.05,18.98,94.26,3.71,9.97,9.96,15.45,16.12,7.19,25.8,64.42,3.99,30.86,98.47,9.71,48.34,29934453.048706055
2018-01-22,7.05,22.06,15.52,65.29,11.79,15.94,60.39,9.42,8.65,12.05,6.18,74.94,29.62,68.26,14.05,19.35,96.28,3.74,9.97,10.48,15.1,16.12,7.19,26.77,64.42,3.86,31.23,101.34,9.92,47.16,30178158.053588867
2018-01-23,7.26,22.06,15.52,65.29,11.79,15.94,60.39,9.42,8.65,12.05,6.18,74.94,29.62,68.26,14.05,19.35,96.28,3.87,9.97,10.48,15.1,16.12,7.19,26.77,64.42,3.8,31.23,101.34,9.92,47.16,30287664.24279785
2018-01-24,7.21,22.06,15.52,65.29,11.79,15.94,60.39,9.42,8.65,12.05,6.18,74.94,29.62,68.26,14.05,19.35,96.28,3.9,9.97,10.48,15.1,16.12,7.19,26.77,64.42,3.81,31.23,101.34,9.92,47.16,30745711.003601074
2018-01-25,7.34,22.06,16.58,66.37,12.25,15.99,64.61,9.42,9.13,11.66,6.55,78.75,29.73,68.26,14.05,19.47,95.18,4.0,9.97,10.85,15.4,16.12,7.19,28.63,64.42,3.92,31.26,99.14,10.55,44.38,30897053.245859385
2018-01-26,7.39,22.06,17.73,69.27,12.5,15.91,66.37,9.42,8.98,12.11,6.95,78.99,29.32,68.19,14.05,19.35,93.0,4.07,9.97,10.82,15.7,16.12,7.19,29.22,64.42,3.94,31.41,101.44,10.47,43.59,30648881.04638672
2018-01-29,7.37,22.06,18.87,67.37,12.96,15.78,66.09,9.42,8.99,11.66,7.3,76.56,28.53,67.31,14.05,19.17,90.38,4.36,9.97,11.22,16.75,16.12,7.19,28.76,64.42,3.92,31.41,98.9,10.49,43.59,30648881.04638672
2018-01-30,7.3,22.06,19.64,71.1,12.85,16.75,66.43,9.42,8.98,11.62,7.24,73.56,29.02,65.62,14.05,19.21,90.75,4.46,9.97,11.19,17.1,16.12,7.19,28.33,64.42,3.9,31.23,97.94,10.65,43.75,30281663.971975088
2018-01-31,7.32,22.06,18.66,68.03,12.46,16.46,71.05,9.42,8.9,11.81,7.04,74.61,28.92,64.89,14.05,19.75,91.12,4.27,9.97,10.45,16.25,16.12,7.19,28.16,64.42,3.91,31.59,97.46,10.74,43.91,30344151.24609375
2018-02-01,7.19,22.06,18.38,65.13,12.48,16.12,69.68,9.42,8.79,11.56,6.77,74.61,30.93,64.96,14.05,19.75,90.38,4.07,9.97,10.59,15.7,16.12,7.19,28.16,64.42,3.88,31.81,97.22,10.51,43.59,30481735.797402382
2018-02-02,7.28,22.06,18.38,66.62,12.82,15.96,69.0,9.42,8.79,11.58,6.84,73.72,29.18,64.38,14.05,19.77,91.12,4.13,9.97,10.76,16.25,16.12,7.19,28.5,64.42,3.91,32.03,99.14,10.92,43.67,30242714.39473629
2018-02-05,7.02,22.06,17.1,61.97,11.93,14.94,64.21,9.42,8.22,10.8,6.4,68.62,28.46,59.9,14.05,18.4,88.13,3.9,9.97,10.01,15.15,16.12,7.19,26.51,64.42,3.86,29.79,97.27,10.37,40.66,30225108.5
2018-02-06,6.83,22.06,15.93,57.66,11.15,14.18,59.76,9.42,7.83,10.99,6.13,69.67,27.43,55.72,14.05,17.36,85.84,3.81,9.97,9.56,15.4,16.12,7.19,26.22,64.42,3.5,29.79,94.78,9.95,37.84,30069979.996398926
2018-02-07,7.14,22.06,17.02,59.15,11.79,14.81,62.72,9.42,8.38,11.28,6.44,67.24,27.77,58.58,14.05,17.73,85.88,4.1,9.97,10.12,15.75,16.12,7.19,26.85,64.42,3.86,29.76,95.93,10.55,40.42,29727544.09430909
2018-02-08,6.93,22.06,17.57,60.89,11.22,14.44,59.3,9.42,8.58,11.31,6.24,68.86,27.36,56.53,14.05,17.36,83.0,3.94,9.97,9.69,14.9,16.12,7.19,26.6,64.42,3.88,29.02,94.4,10.47,38.83,29840954.553222656
2018-02-09,7.0,22.06,17.62,59.4,11.22,14.39,55.2,9.42,8.52,11.05,6.38,66.59,25.81,53.6,14.05,17.22,83.0,4.0,9.97,9.69,14.95,16.12,7.19,25.75,64.42,3.9,28.73,91.48,10.57,37.84,29764562.899526358
2018-02-12,7.37,22.06,18.85,60.98,12.0,14.94,59.02,9.42,8.88,11.14,6.82,68.86,26.25,57.12,14.05,17.82,85.96,4.33,9.97,10.3,15.9,16.12,7.19,26.85,64.42,3.98,30.71,91.96,11.12,37.84,30021335.38753414
2018-02-13,7.67,22.06,19.31,62.22,12.46,15.44,61.58,9.42,8.9,11.48,6.95,69.35,27.66,57.34,14.05,18.38,86.29,4.27,9.97,10.47,15.9,16.12,7.19,27.06,64.42,4.05,31.63,92.67,11.38,38.08,30118651.24633789
2018-02-14,7.67,22.06,19.31,62.22,12.46,15.44,61.58,9.42,8.9,11.48,6.95,69.35,27.66,57.34,14.05,18.38,86.29,4.27,9.97,10.47,15.9,16.12,7.19,27.06,64.42,4.05,31.63,92.67,11.38,38.08,30740706.75
2018-02-15,7.67,22.06,19.31,62.22,12.46,15.44,61.58,9.42,8.9,11.48,6.95,69.35,27.66,57.34,14.05,18.38,86.29,4.27,9.97,10.47,15.9,16.12,7.19,27.06,64.42,4.05,31.63,92.67,11.38,38.08,30663599.296325684
2018-02-16,7.67,22.06,19.31,62.22,12.46,15.44,61.58,9.42,8.9,11.48,6.95,69.35,27.66,57.34,14.05,18.38,86.29,4.27,9.97,10.47,15.9,16.12,7.19,27.06,64.42,4.05,31.63,92.67,11.38,38.08,30680425.892944336
2018-02-19,7.67,22.06,19.31,62.22,12.46,15.44,61.58,9.42,8.9,11.48,6.95,69.35,27.66,57.34,14.05,18.38,86.29,4.27,9.97,10.47,15.9,16.12,7.19,27.06,64.42,4.05,31.63,92.67,11.38,38.08,30680425.892944336
2018-02-20,7.67,22.06,19.31,62.22,12.46,15.44,61.58,9.42,8.9,11.48,6.95,69.35,27.66,57.34,14.05,18.38,86.29,4.27,9.97,10.47,15.9,16.12,7.19,27.06,64.42,4.05,31.63,92.67,11.38,38.08,30113266.70654297
2018-02-21,7.81,22.06,20.4,66.54,12.76,15.54,63.86,9.42,8.92,11.37,7.0,72.51,28.35,58.44,14.05,18.38,88.91,4.3,9.97,10.76,16.3,16.12,7.19,28.0,64.42,4.12,33.06,97.32,11.76,39.23,30167857.48046875
2018-02-22,7.76,22.06,20.07,66.37,13.12,15.28,60.44,9.42,8.6,11.16,6.96,71.29,27.43,56.82,14.05,18.08,87.73,4.2,9.97,10.55,16.1,16.12,7.19,28.25,64.42,4.05,33.25,96.27,11.5,39.55,30188119.4863379
2018-02-23,7.84,20.3,20.24,70.35,13.92,15.83,63.29,9.42,8.51,11.67,7.28,72.75,27.61,60.78,14.05,18.43,88.54,4.33,9.97,10.79,16.45,16.12,7.19,30.19,64.42,4.0,33.65,96.75,11.78,40.89,30157443.991333008
2018-02-26,7.95,20.21,20.78,71.35,14.06,15.81,64.44,9.42,8.41,12.2,7.18,72.83,27.89,64.89,14.05,18.52,89.53,4.27,9.97,10.74,16.05,16.12,7.19,30.41,64.42,4.0,34.9,95.79,11.66,43.59,30222191.94104004
2018-02-27,8.14,21.18,20.81,71.51,14.7,15.65,64.72,9.42,8.5,12.15,7.24,74.05,29.04,64.45,14.05,18.5,89.09,4.3,9.97,10.82,16.15,16.12,7.19,30.96,64.42,4.01,34.35,95.79,11.86,43.51,29874085.177734375
2018-02-28,8.25,19.42,21.27,69.44,15.39,15.65,64.95,9.42,8.48,12.51,7.59,72.26,28.58,65.92,14.05,18.55,86.77,4.3,9.97,11.31,16.1,16.12,7.19,31.21,64.42,4.25,34.86,93.87,12.0,42.64,29886582.427734375
2018-03-01,8.07,19.68,20.62,68.44,14.98,15.91,66.15,9.42,8.4,12.64,7.48,73.72,28.23,63.94,14.05,18.11,85.59,4.17,9.97,11.59,15.75,16.12,7.19,30.24,64.42,4.25,34.53,93.87,11.92,43.91,29605145.804748535
2018-03-02,8.16,19.15,20.62,68.36,14.98,15.99,66.72,9.42,8.32,12.57,7.55,74.13,28.0,63.79,14.05,17.97,84.11,4.17,9.97,11.65,15.7,16.12,7.19,30.36,64.42,4.45,34.72,95.45,12.47,43.75,30008785.94543457
2018-03-05,7.72,19.15,19.2,69.69,13.97,16.09,63.86,9.42,8.22,11.69,7.17,73.72,27.54,60.93,14.05,18.16,83.37,4.13,9.97,10.84,14.95,16.12,7.19,28.76,64.42,4.63,34.53,96.94,11.78,40.74,29953821.94519043
2018-03-06,8.05,19.51,20.54,68.86,14.79,16.56,66.72,9.42,8.25,12.11,7.5,73.32,26.97,63.5,14.05,18.35,81.34,4.17,9.97,11.59,15.3,16.12,7.19,30.11,64.42,4.8,36.19,96.75,12.45,43.51,30312727.44506836
2018-03-07,7.93,18.16,20.46,65.46,14.43,16.28,65.46,9.42,8.12,11.58,7.28,74.05,26.3,61.08,13.26,18.06,81.53,4.0,9.97,11.71,15.05,16.12,7.19,29.43,64.42,4.92,36.22,98.71,12.49,43.27,30146610.0
2018-03-08,7.95,18.88,20.29,67.2,14.52,16.28,65.35,9.42,8.12,11.71,7.29,76.15,26.53,62.32,13.58,18.21,81.2,4.0,9.97,11.7,15.2,16.12,7.19,29.39,64.42,5.13,37.91,100.1,13.11,44.14,29991428.304748535
2018-03-09,8.21,18.79,20.32,69.61,14.84,16.12,63.86,9.42,8.12,11.66,7.39,76.23,26.76,61.59,13.82,18.59,81.31,4.07,9.97,11.89,15.4,16.12,7.19,30.02,64.42,5.12,38.02,99.62,12.87,44.14,30051540.55480957
2018-03-12,8.53,18.43,21.06,70.19,15.32,16.07,66.26,9.42,8.12,11.75,7.46,77.13,26.97,60.42,13.66,19.22,81.23,4.17,9.97,11.77,15.95,16.12,7.19,30.45,64.42,5.07,36.74,98.66,12.67,44.22,29981386.45477295
2018-03-13,8.63,17.8,21.38,69.52,16.35,15.73,65.58,9.42,8.08,11.66,7.66,76.96,26.73,59.76,13.58,19.22,80.05,4.17,9.97,12.11,16.1,16.12,7.19,30.45,64.42,5.25,37.69,100.58,12.93,44.22,30134392.804870605
2018-03-14,8.63,16.9,21.27,69.85,16.28,15.91,67.4,9.42,8.41,11.71,7.68,76.15,26.5,59.54,13.42,19.65,79.17,4.27,9.97,12.02,16.05,16.12,7.19,31.21,64.42,5.61,37.66,102.01,12.99,42.4,30105599.15496826
2018-03-15,8.67,17.35,22.75,68.86,16.76,15.86,69.0,9.42,8.5,11.48,7.93,75.34,26.16,59.46,13.18,19.8,78.95,4.36,9.97,12.03,16.15,16.12,7.19,31.21,64.42,5.69,36.55,100.67,12.85,42.0,29937449.110107422
2018-03-16,8.84,17.98,23.35,68.86,16.81,15.73,72.99,9.42,8.56,11.41,7.94,74.53,26.14,60.86,13.5,19.36,84.3,4.53,9.97,12.57,16.3,16.12,7.19,31.59,64.42,5.69,36.63,102.49,12.95,41.37,29824733.342792988
2018-03-19,9.07,19.06,22.75,72.18,16.62,15.83,73.27,9.42,8.64,11.96,7.92,76.4,26.97,63.28,13.42,18.98,83.0,4.43,9.97,12.57,16.05,16.12,7.19,31.42,64.42,5.45,38.35,101.53,12.77,42.0,29908875.57779789
2018-03-20,9.34,17.98,23.18,71.43,16.49,16.04,71.85,9.42,8.41,11.66,8.03,81.42,27.66,62.69,13.18,18.93,83.37,4.43,9.97,12.58,16.0,16.12,7.19,31.29,64.42,5.36,38.28,100.1,13.17,41.85,29813757.894836426
2018-03-21,9.25,17.8,23.73,74.67,16.58,15.96,72.53,9.42,8.31,11.94,8.12,82.96,27.66,63.72,13.18,18.79,83.37,4.46,9.97,12.55,16.25,16.12,7.19,31.08,64.42,5.28,39.68,100.1,13.09,40.82,30025850.28169918
2018-03-22,9.07,20.14,24.17,76.33,16.4,15.73,76.3,9.42,8.12,11.9,7.94,83.93,27.22,63.72,12.87,18.64,85.22,4.36,9.97,12.35,16.0,16.12,7.19,30.45,64.42,5.27,39.68,100.1,13.13,41.05,30164230.244873047
2018-03-23,8.88,21.13,23.1,72.76,16.01,15.34,74.64,9.08,8.02,11.64,7.83,82.63,26.78,62.4,12.71,18.16,86.84,4.23,9.97,12.14,15.75,16.12,7.19,29.56,64.42,5.16,40.23,99.14,12.83,39.55,30723562.111816406
2018-03-26,9.13,21.58,24.49,77.16,16.4,15.49,73.9,8.9,8.35,11.16,7.9,88.39,26.5,60.86,12.4,18.16,90.09,4.36,9.97,12.32,15.65,16.12,7.19,30.41,64.42,5.23,41.81,99.86,12.95,38.52,30822081.35559082
2018-03-27,9.17,21.58,24.06,77.16,16.4,15.57,72.3,9.42,8.56,11.26,7.9,88.31,26.27,60.12,12.32,18.3,90.01,4.33,9.97,12.26,15.5,16.12,7.19,30.02,64.42,5.28,41.51,102.01,13.07,39.86,30555485.7623291
2018-03-28,9.05,21.49,24.3,77.98,16.12,15.41,72.42,9.94,8.68,11.35,7.81,89.44,26.09,60.78,12.32,18.59,88.2,4.27,9.97,12.11,15.35,16.12,7.19,29.81,64.42,5.17,42.06,101.06,13.07,40.26,30170571.6875
2018-03-29,9.0,21.4,24.0,77.16,16.03,15.57,72.13,10.29,8.79,11.52,7.77,88.71,26.07,60.34,12.79,18.21,88.2,4.23,9.97,11.96,15.25,16.12,7.19,30.02,64.42,5.41,42.25,99.14,13.13,40.42,30130607.748920918
2018-03-30,9.01,22.39,23.67,78.4,15.85,15.88,74.93,10.63,8.77,11.45,7.66,91.95,26.0,61.37,13.1,18.16,88.76,4.23,9.97,11.96,15.5,16.12,7.19,29.81,64.42,5.36,43.06,97.22,12.99,40.58,30130607.748920918
2018-04-02,9.5,23.1,24.55,80.56,16.58,16.09,77.61,11.15,8.71,11.18,7.9,92.84,25.37,62.25,13.1,18.4,87.8,4.3,9.97,12.51,15.8,16.12,7.19,31.29,64.42,5.33,45.19,95.64,13.7,39.55,30203959.950561523
2018-04-03,9.46,23.64,24.6,83.38,16.62,16.02,75.84,10.89,8.71,11.09,8.1,91.55,23.74,60.86,12.79,19.03,84.48,4.4,9.97,12.94,15.7,16.12,7.19,31.42,64.42,5.21,44.93,92.77,13.76,39.55,30354521.112060547
2018-04-04,9.48,23.38,24.44,83.79,16.44,16.15,74.13,10.37,8.88,11.18,8.05,89.12,24.18,60.49,12.95,18.93,83.37,4.3,9.97,12.84,15.6,16.12,7.19,31.08,64.42,5.2,46.84,95.79,13.72,39.23,30422846.112060547
2018-04-05,9.61,23.55,24.0,88.94,16.3,16.49,74.07,9.77,8.87,11.14,8.1,88.71,24.29,59.68,12.79,18.86,83.82,4.33,9.97,12.84,15.7,16.12,7.19,31.08,64.42,5.17,48.13,94.49,13.6,38.99,30168217.2623291
2018-04-06,9.83,23.2,24.0,89.18,16.35,16.41,74.01,9.6,8.87,11.45,8.08,86.52,24.27,60.86,12.71,19.0,83.82,4.36,9.97,12.84,16.1,16.12,7.19,31.08,64.42,5.21,48.64,94.93,13.72,41.61,30338018.756103516
2018-04-09,9.86,23.82,24.22,87.53,17.27,16.59,74.01,9.34,9.3,11.52,8.12,86.69,23.83,61.15,12.63,18.95,83.0,4.43,9.97,13.58,16.4,16.12,7.19,31.21,64.42,5.28,49.56,94.73,13.96,42.4,30424211.361694336
2018-04-10,9.75,23.38,24.82,89.52,17.08,16.85,73.84,9.6,9.67,11.52,8.07,85.07,23.28,60.86,12.55,19.22,84.85,4.5,9.97,13.34,16.2,16.12,7.19,31.51,64.42,5.47,48.13,94.35,13.76,42.0,30025908.0
2018-04-11,9.42,23.2,24.27,88.6,16.35,16.49,72.13,9.16,9.57,11.47,7.77,79.39,23.0,57.92,12.32,18.55,84.85,4.43,9.97,12.81,15.65,16.12,7.19,30.11,64.42,5.41,46.29,93.87,13.31,40.42,30870548.75
2018-04-12,9.63,23.1,24.22,88.44,16.35,16.64,74.41,9.42,9.38,11.69,7.68,82.63,23.85,58.66,12.4,18.59,84.85,4.43,9.97,12.88,15.6,16.12,7.19,29.98,64.42,5.44,46.66,94.02,13.37,41.05,30455961.7555542
2018-04-13,9.36,23.2,22.91,86.45,15.66,16.22,72.99,9.16,9.55,11.6,7.3,83.04,24.29,56.09,12.32,18.38,84.04,4.33,9.97,12.66,15.45,16.12,7.19,28.71,64.42,5.28,46.88,93.73,12.91,40.26,30598907.911010742
2018-04-16,9.38,23.1,21.82,85.78,15.57,15.99,72.59,9.08,9.74,11.39,7.41,84.5,24.43,56.24,12.24,18.06,84.66,4.33,9.97,12.69,15.5,16.12,7.19,27.87,64.42,5.28,47.28,91.0,12.87,40.18,30657646.25
2018-04-17,9.55,23.1,22.86,88.77,15.94,16.22,72.99,9.34,9.7,11.31,7.61,84.26,24.25,54.26,12.32,18.35,84.48,4.36,9.97,12.88,15.8,16.12,7.19,28.33,64.42,5.32,47.76,88.36,13.11,39.63,30638694.889526367
