,HRP-CVaR,MVO-MaxSharpe
2018-12-20,0.9992231039063614,0.99889697771895
2018-12-21,0.9948115472001007,1.0000000000000002
2018-12-24,0.9916085664425063,1.0000000000000002
2018-12-25,0.9806984453685986,0.9988969777189501
2018-12-26,0.978310896936289,0.9988969777189501
2018-12-27,0.9920917034036915,1.0039708802117806
2018-12-28,0.9895214508304278,0.9342598720494157
2018-12-31,0.9894373402859238,0.9342598720494157
2019-01-01,0.9894373402859238,0.9342598720494157
2019-01-02,0.9814107145324402,0.9843370836090892
2019-01-03,0.9675033551006224,0.9832340613280393
2019-01-04,0.9691344953809939,0.9863225237149795
2019-01-07,0.9759808110642167,0.9900727994705499
2019-01-08,0.9736181050786016,0.9900727994705499
2019-01-09,0.9860893856198913,0.9951467019633803
2019-01-10,0.9864663905656124,0.9940436796823303
2019-01-11,0.9902868818973697,0.9940436796823303
2019-01-14,0.9902978494679539,0.9940436796823303
2019-01-15,0.9964572524251042,0.9951467019633804
2019-01-16,0.9963513114114972,1.0000000000000009
2019-01-17,0.9903027022075839,1.0000000000000009
2019-01-18,0.9907552220785725,1.0019854401058912
2019-01-21,1.002452092488134,1.0039708802117813
2019-01-22,0.9966102587871708,1.0039708802117813
2019-01-23,0.9992448449240751,1.0059563203176716
2019-01-24,1.0003056684659606,1.0077211559673516
2019-01-25,0.9987166647908261,1.0088241782484015
2019-01-28,1.001698183613259,1.0165453342157522
2019-01-29,1.0063042616113846,1.0185307743216423
2019-01-30,1.0081911142531785,1.0185307743216423
2019-01-31,1.0044459817805853,1.0185307743216423
2019-02-01,1.0050752593063133,0.9686741672181787
2019-02-04,1.0050752592901542,0.9686741672181787
2019-02-05,1.0050752592895313,0.9686741672181787
2019-02-06,1.0050752592602372,0.9686741672181787
2019-02-07,1.005075259259613,0.9686741672181787
2019-02-08,1.00507525928642,0.9686741672181787
2019-02-11,1.0217412338381415,1.0196337966026923
2019-02-12,1.0301077256186784,1.069490403706156
2019-02-13,1.0372277318410739,1.0686079858813158
2019-02-14,1.0382420314487437,1.1067725568056486
2019-02-15,1.0368963052342566,1.097948378557248
2019-02-18,1.0463056025750714,1.1147143172292089
2019-02-19,1.0463653164423992,1.1372159717626305
2019-02-20,1.051934474780032,1.142069269799251
2019-02-21,1.0634353158136323,1.1608206485771022
2019-02-22,1.0671327696945812,1.1469225678358712
2019-02-25,1.0723259052134375,1.1400838296933609
2019-02-26,1.0640897215808407,1.1323626737260102
2019-02-27,1.0640352071474564,1.1508934480476516
2019-02-28,1.042007556787714,1.117582175159939
2019-03-01,1.0538684153296016,1.12839179351423
2019-03-04,1.066650193944091,1.1508934480476516
2019-03-05,1.0665340597850643,1.1500110302228117
2019-03-06,1.069108967562137,1.1537613059783818
2019-03-07,1.0678660758477223,1.1685418045444529
2019-03-08,1.0605796741949458,1.1577321861901622
2019-03-11,1.0583677611190043,1.1597176262960522
2019-03-12,1.075914736305296,1.1625854842267824
2019-03-13,1.0823072341009325,1.1519964703287018
2019-03-14,1.0820928372182073,1.1645709243326725
2019-03-15,1.0817999927487993,1.1636885065078326
2019-03-18,1.084571923148731,1.1890580189719842
2019-03-19,1.0763463858090372,1.1861901610412542
2019-03-20,1.0767103131420286,1.1784690050739035
2019-03-21,1.062717944838096,1.1469225678358712
2019-03-22,1.069411255083577,1.1625854842267824
2019-03-25,1.0485434940867011,1.12927421133907
2019-03-26,1.0505312602885257,1.1147143172292089
2019-03-27,1.05898460108039,1.116699757335099
2019-03-28,1.0594532167370574,1.1361129494815805
2019-03-29,1.0575774351788256,1.1361129494815805
2019-04-01,1.0658038746061809,1.142069269799251
2019-04-02,1.06305365949671,1.1400838296933606
2019-04-03,1.061264163513664,1.1264063534083397
2019-04-04,1.0665733139322355,1.1283917935142298
2019-04-05,1.0667458618260224,1.1283917935142298
2019-04-08,1.0720576091729266,1.13236267372601
2019-04-09,1.0637055723142685,1.1078755790866983
2019-04-10,1.0570255158028299,1.0959629384513574
2019-04-11,1.0568097042529925,1.1272887712331798
2019-04-12,1.0541850921543519,1.1096404147363783
2019-04-15,1.0527171607238968,1.1096404147363783
2019-04-16,1.0490140955720508,1.1087579969115384
2019-04-17,1.0453013411969865,1.1120771108444314
2019-04-18,1.0351029798340363,1.0460209528073132
2019-04-19,1.0379262020197408,1.0858390697269713
2019-04-22,1.0346588828865468,1.0960401402283946
2019-04-23,1.0361666098953288,1.085206560775294
2019-04-24,1.04601632084354,1.084322894512459
2019-04-25,1.043080114107587,1.0792343068419785
2019-04-26,1.049357349074217,1.0802421147717192
2019-04-29,1.0484006522214482,1.0802421147717192
2019-04-30,1.0494291747468314,1.0802421147717192
2019-05-01,1.0493723431854791,1.0802421147717192
2019-05-02,1.0472468430188837,1.0977841555621075
2019-05-03,1.044759347238032,1.0975482473373197
2019-05-06,1.0262675567602808,1.0837230285032338
2019-05-07,1.0270864387095175,1.0873882864209041
2019-05-08,1.0218808036716822,1.0891706156846297
2019-05-09,1.0173890987953897,1.1055600728363584
2019-05-10,1.0236453597759263,1.1139877024565321
2019-05-13,1.0316293764762496,1.1143829709349649
2019-05-14,1.0391088825993309,1.136001636451404
2019-05-15,1.0501503518606174,1.1362461517869906
2019-05-16,1.0467026017921415,1.1390897088474714
2019-05-17,1.047613603751332,1.1410920418596564
2019-05-20,1.0550400284985706,1.1555786705152027
2019-05-21,1.0571623057558834,1.1545823566790994
2019-05-22,1.0540604713150612,1.1484797212183087
2019-05-23,1.0534467590748995,1.1514150536253618
2019-05-24,1.0430817584775405,1.13314687834692
2019-05-27,1.0457178081001872,1.1445282296317807
2019-05-28,1.0442178294741387,1.1410882501789281
2019-05-29,1.0421090152238028,1.1454187168803696
2019-05-30,1.0441217194424073,1.1478741401877386
2019-05-31,1.034449153135634,1.1413419902914956
2019-06-03,1.02174827798465,1.1332186383763627
2019-06-04,1.0263922496912632,1.142273971659312
2019-06-05,1.02787557070294,1.1400051946136767
2019-06-06,1.026860513797146,1.1305465215847608
2019-06-07,1.039044376142155,1.1301398378683265
2019-06-10,1.0388059081207845,1.1456620140519909
2019-06-11,1.0414818596477937,1.151541579579581
2019-06-12,1.0377992088972614,1.143909466583309
2019-06-13,1.0350689826330939,1.1462014038449135
2019-06-14,1.0355527671865716,1.136986402819656
2019-06-17,1.029419923819174,1.1281263914516306
2019-06-18,1.0252359837436338,1.1358653052927148
2019-06-19,1.029749907125139,1.1426763977952854
2019-06-20,1.0428616822480445,1.1550248578998135
2019-06-21,1.0421231625228693,1.1544744390516726
2019-06-24,1.0392795005314714,1.1515449132606355
2019-06-25,1.0378878076333384,1.1584968116047372
2019-06-26,1.0361052239648334,1.1581770593442007
2019-06-27,1.0235638489450298,1.1385453065177218
2019-06-28,1.0289113780142887,1.1431134305969681
2019-07-01,1.041048870319095,1.1466700407776977
2019-07-02,1.0390076914661783,1.14623536438079
2019-07-03,1.0394162116996797,1.1468546016212193
2019-07-04,1.0486666805808174,1.1550987862560025
2019-07-05,1.0504753927662205,1.164025799480994
2019-07-08,1.042036724327004,1.1561326966926395
2019-07-09,1.044694363040768,1.1578958310729548
2019-07-10,1.0487359837583041,1.172719998477017
2019-07-11,1.0533049188960495,1.1756104078441296
2019-07-12,1.0512177189213872,1.175740769158842
2019-07-15,1.052513127408071,1.1723616829361254
2019-07-16,1.0595704614798518,1.1847934376798717
2019-07-17,1.0635866796632831,1.1873446704029322
2019-07-18,1.0590370004342684,1.1868166202246628
2019-07-19,1.0636703009552222,1.188032070466516
2019-07-22,1.0619574161000889,1.1880098874119265
2019-07-23,1.0667475395481623,1.1926613727515225
2019-07-24,1.0652615959506477,1.1923393214611782
2019-07-25,1.0687390376678656,1.2008544700857786
2019-07-26,1.066688308471203,1.195037548622708
2019-07-29,1.0635895601097636,1.201276290578227
2019-07-30,1.0528514194450793,1.2035378920269963
2019-07-31,1.0575892290278455,1.2023979926882773
2019-08-01,1.0594104602704948,1.2069389986998396
2019-08-02,1.0570638040421105,1.214944448634509
2019-08-05,1.0473792617724422,1.2220502969309335
2019-08-06,1.039323687709538,1.2275649847501406
2019-08-07,1.0395364417096693,1.2394961361811259
2019-08-08,1.048867815545127,1.2386125208733028
2019-08-09,1.050861296474241,1.23086579140106
2019-08-12,1.0526471443337295,1.2269706486180931
2019-08-13,1.0475804768013703,1.2115985866872794
2019-08-14,1.049558904817575,1.2159152922099132
2019-08-15,1.0588015430381468,1.2331749683642084
2019-08-16,1.0616041962913925,1.225457777205022
